Ticker,Name,Currentprice
IEX,IDEX Corporation,238.59
CNP,"CenterPoint Energy, Inc (Holdin",28.33
EPAM,"EPAM Systems, Inc.",309.4
VTR,"Ventas, Inc.",44.42
TYL,"Tyler Technologies, Inc.",420.48
FDS,FactSet Research Systems Inc.,466.12
CMS,CMS Energy Corporation,60.26
TXT,Textron Inc.,92.13
ENPH,"Enphase Energy, Inc.",130.28
LDOS,"Leidos Holdings, Inc.",128.76
ATO,Atmos Energy Corporation,115.82
EXPD,Expeditors International of Was,121.26
AVY,Avery Dennison Corporation,215.73
FSLR,"First Solar, Inc.",161.35
SYF,Synchrony Financial,42.14
SWKS,"Skyworks Solutions, Inc.",106.32
CE,Celanese Corporation,155.49
BBY,"Best Buy Co., Inc.",78.58
MAS,Masco Corporation,76.88
AKAM,"Akamai Technologies, Inc.",111
NTRS,Northern Trust Corporation,81.81
PKG,Packaging Corporation of Americ,186.08
L,Loews Corporation,74.84
EQT,EQT Corporation,37.52
ESS,"Essex Property Trust, Inc.",245.44
TER,"Teradyne, Inc.",106.12
MAA,Mid-America Apartment Communiti,134.91
EG,"Everest Group, Ltd.",367.7
POOL,Pool Corporation,415.06
CF,"CF Industries Holdings, Inc.",84.34
CFG,"Citizens Financial Group, Inc.",34.32
SNA,Snap-On Incorporated,295.24
TRMB,Trimble Inc.,63.09
DPZ,Domino's Pizza Inc,445.01
NWS,News Corporation,27.35
NWSA,News Corporation,26.34
NDSN,Nordson Corporation,264.76
HST,"Host Hotels & Resorts, Inc.",20.88
BEN,"Franklin Resources, Inc.",28.05
LW,"Lamb Weston Holdings, Inc.",101.19
VTRS,Viatris Inc.,12.26
ZBRA,Zebra Technologies Corporation,282.59
UAL,"United Airlines Holdings, Inc.",43.3
DGX,Quest Diagnostics Incorporated,127.24
SWK,"Stanley Black & Decker, Inc.",91.48
GEN,Gen Digital Inc.,22.07
MRO,Marathon Oil Corporation,24.74
KEY,KeyCorp,14.92
ALB,Albemarle Corporation,118.33
TAP,Molson Coors Beverage Company,64.56
LKQ,LKQ Corporation,51.42
CRL,Charles River Laboratories Inte,266.97
MGM,MGM Resorts International,42.47
UDR,"UDR, Inc.",38.1
AMCR,Amcor plc,9.36
RVTY,"Revvity, Inc.",109.33
INCY,Incyte Corporation,60.02
CAG,"ConAgra Brands, Inc.",28.13
PNR,Pentair plc.,81.22
BG,Bunge Limited,92.2
KIM,Kimco Realty Corporation (HC),19.49
FOXA,Fox Corporation,28.86
FOX,Fox Corporation,26.32
KMX,CarMax Inc,81.77
JKHY,"Jack Henry & Associates, Inc.",174.65
SJM,The J.M. Smucker Company,119.56
LNT,Alliant Energy Corporation,49.34
NRG,"NRG Energy, Inc.",60.73
AOS,A.O. Smith Corporation,85.82
CPB,Campbell Soup Company,42.25
PODD,Insulet Corporation,179.59
IP,International Paper Company,36.24
IPG,"Interpublic Group of Companies,",32.26
JNPR,"Juniper Networks, Inc.",37.36
TECH,Bio-Techne Corp,77.09
NI,NiSource Inc,27.01
EVRG,"Evergy, Inc.",51.56
UHS,"Universal Health Services, Inc.",175.69
DVA,DaVita Inc.,135.17
WRK,Westrock Company,45.56
HII,"Huntington Ingalls Industries, ",293.32
GL,Globe Life Inc.,123.62
AES,The AES Corporation,16.25
REG,Regency Centers Corporation,61.87
ALLE,Allegion plc,130.85
FFIV,"F5, Inc.",192.93
WYNN,"Wynn Resorts, Limited",100.43
RL,Ralph Lauren Corporation,176.03
QRVO,"Qorvo, Inc.",116.07
CPT,Camden Property Trust,101.17
TPR,"Tapestry, Inc.",47.08
TFX,Teleflex Incorporated,224.4
EMN,Eastman Chemical Company,89.82
DAY,"Dayforce, Inc.",66.92
